Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
744,606,127,357,184,363,604,97,537,198
529,316,468,332,660,88,635,550,337,13
67,311,383,718,545,804,646,95,503,139
783,372,143,378,701,376,458,471,534,735
439,72,78,73,666,582,624,276,299,610
354,83,345,560,141,87,74,642,129,385
79,559,496,335,632,711,420,597,626,345
600,524,87,115,307,783,80,427,446,195
405,399,623,85,13,804,141,387,411,741
626,219,348,637,719,409,42,398,276,701
487,116,118,522,224,239,608,530,537,201
417,522,309,97,458,805,363,411,579,652
77,317,69,388,228,760,328,313,474,708
698,127,570,73,545,391,455,238,535,58
433,538,525,614,158,842,430,234,541,13
378,498,676,710,364,312,156,452,657,669
725,464,641,605,635,157,507,427,633,60
776,275,631,80,415,634,467,538,523,666
67,491,692,716,96,400,447,513,428,661
763,471,657,411,692,786,718,659,118,162
402,422,392,582,617,827,708,519,13,389
247,77,603,362,454,47,438,425,559,60
808,488,719,13,325,163,398,136,465,706
668,453,674,90,656,564,69,532,227,626
675,315,485,20,626,434,605,382,694,501
326,265,365,731,551,99,425,608,469,411
61,235,280,671,322,811,85,238,140,632
462,226,72,286,122,681,466,182,411,193
730,106,163,717,563,822,407,528,7,475
695,71,13,527,93,192,643,13,493,225
205,392,714,663,574,734,513,384,133,180
446,443,604,623,655,464,364,660,469,696
431,298,554,699,575,139,595,671,444,466
416,263,549,679,287,810,265,441,695,286
312,459,539,679,613,785,80,278,560,552
112,244,124,331,299,386,65,118,165,237
553,496,155,146,670,307,651,64,156,137
755,466,691,354,645,242,481,390,567,703
475,452,642,120,516,182,31,340,87,609
405,292,524,671,683,157,548,110,659,555
831,77,436,461,463,13,415,411,640,485
521,273,698,652,594,84,631,106,510,661
391,259,663,603,89,560,647,628,245,626
787,491,608,704,610,165,462,13,496,637
7,456,198,214,654,140,292,140,471,663
798,426,78,690,609,741,638,361,381,283
598,602,604,685,579,566,460,632,262,569
468,158,301,241,389,421,160,602,538,264
729,103,177,662,595,82,591,502,574,174
414,559,117,322,716,873,632,347,564,109
585,520,511,172,558,798,638,253,515,646
607,486,693,152,389,583,403,699,486,697
362,451,548,708,625,819,323,509,166,677
112,256,759,328,420,674,263,499,367,528
779,131,480,283,336,446,539,597,493,438
769,547,686,744,61,732,514,248,13,58
609,502,672,429,609,422,399,158,149,669
775,482,764,349,289,858,125,684,685,404
395,397,724,581,114,758,581,554,605,501
370,102,680,592,675,630,406,670,442,682
345,333,676,72,630,812,161,442,272,232
89,454,521,683,225,207,141,312,137,318
210,424,747,508,756,823,682,108,648,729
831,275,7,388,677,844,377,411,554,694
816,596,603,373,532,489,708,51,354,750
822,201,433,353,282,701,13,647,705,465
672,452,288,153,658,476,395,457,485,520
667,448,745,639,363,862,325,383,516,591
583,93,575,594,694,457,711,153,96,747
425,535,570,134,299,758,676,596,337,222
821,525,425,665,440,398,151,356,253,613
712,150,702,365,390,224,58,543,684,433
642,606,373,621,677,855,329,493,669,363
67,312,769,471,532,855,194,725,664,58
7,297,679,296,267,580,475,685,549,694
833,543,664,682,262,736,310,385,484,384
133,209,389,522,768,867,76,235,464,245
842,570,700,653,313,752,92,587,279,761
637,495,520,633,759,673,508,532,515,266
844,275,15,623,734,128,458,367,416,272
759,601,777,418,569,894,298,257,171,338
726,136,737,223,766,896,314,638,652,744
616,111,713,148,171,826,89,38,247,745
376,402,713,78,477,668,406,13,237,695
437,333,185,525,403,493,442,729,653,435
282,304,386,505,323,635,337,616,593,782
7,635,727,270,208,475,648,467,644,697
785,490,527,711,123,150,603,589,635,682
686,330,337,737,123,212,338,414,530,597
641,215,343,712,754,109,153,681,461,769
411,437,664,512,689,605,764,461,472,609
