Driving_Time1234567,Driving_Time1234568,Driving_Time1234569,Driving_Time1234560,Driving_Time1234561,Driving_Time1234562,Driving_Time1234563,Driving_Time1234564,Driving_Time1234565,Driving_Time1234566
421,555,588,232,757,687,287,384,746,204
412,530,13,82,657,372,703,364,681,154
853,576,13,123,527,864,663,745,566,775
783,526,704,754,638,115,533,560,291,160
678,521,539,736,58,846,458,200,111,558
655,71,524,731,53,681,375,321,427,553
656,593,585,642,819,571,801,287,623,413
651,523,737,77,560,391,636,503,473,328
368,473,362,763,355,361,631,463,369,820
669,468,563,694,236,928,287,689,124,735
810,484,488,517,517,153,183,479,245,340
396,459,88,82,332,402,790,336,140,861
141,369,634,428,322,829,745,121,125,782
587,279,760,313,583,184,70,527,621,112
7,119,600,23,203,179,621,644,216,349
899,455,766,799,715,671,601,534,712,269
874,276,707,524,685,196,401,610,472,234
869,587,122,369,175,537,162,590,428,450
445,347,13,770,261,874,808,435,369,185
861,197,769,760,423,695,658,340,149,606
856,254,84,715,408,816,199,110,691,501
671,244,300,695,454,377,535,411,581,822
492,59,110,625,136,158,305,737,241,793
67,600,747,265,136,724,646,652,432,608
613,495,542,70,97,860,602,647,548,58
128,465,367,701,638,841,182,252,343,724
694,395,7,671,638,736,478,253,153,194
920,270,723,121,709,426,193,630,13,835
820,255,795,773,564,391,78,100,639,706
731,646,285,743,715,527,644,467,289,366
677,386,240,503,575,603,544,262,740,662
838,658,681,448,385,714,79,688,680,532
748,533,391,684,240,455,796,558,771,67
723,645,432,274,681,823,661,288,636,363
458,635,7,695,596,829,431,13,467,13
448,495,623,675,541,794,326,729,533,580
694,460,383,485,312,805,837,630,734,60
780,455,815,105,107,730,677,141,574,196
705,295,445,816,629,966,582,647,569,827
140,556,140,696,594,946,7,432,695,317
95,546,70,476,314,686,373,753,660,663
856,301,731,702,855,486,704,653,600,58
506,286,813,607,605,136,204,629,616,385
788,512,678,813,520,808,725,199,506,150
498,618,423,569,686,984,140,650,491,191
639,83,759,544,381,549,772,555,411,577
414,309,530,489,276,746,172,55,301,362
800,390,15,70,231,656,538,50,286,613
270,300,552,541,727,656,689,687,667,173
481,250,412,96,748,651,715,497,552,849
662,130,778,692,703,81,630,488,432,589
189,105,513,393,618,807,360,764,593,344
775,572,73,744,689,382,846,729,388,570
560,547,274,462,644,958,653,470,388,60
525,432,565,823,624,805,253,701,353,626
896,242,290,723,756,45,709,522,674,296
811,454,115,729,596,606,314,352,374,272
661,99,661,846,541,31,89,97,630,803
231,585,837,21,241,357,74,37,470,599
36,430,748,463,362,488,755,763,306,174
788,320,693,749,102,921,95,608,567,830
783,536,533,259,373,311,206,99,813,805
904,116,503,670,123,86,682,695,219,776
744,597,380,100,809,967,292,310,755,291
716,517,347,746,749,747,137,231,525,587
387,342,252,396,675,732,668,802,811,784
67,77,7,547,550,707,173,463,657,599
868,453,558,82,455,677,829,428,132,369
