road,id,model_type,name,lat,lon,length,condition
N1,200320,bridge,bridge 160,22.6510709547445,91.6400341194647,4.6,A
N1,200321,link,link 161,22.649263532987803,91.64097561826365,456.0,
N1,200322,bridge,bridge 161,22.6474561112311,91.6419171170626,12.4,A
N1,200323,link,link 162,22.641776351098052,91.6450631788598,1433.0,
N1,200324,bridge,bridge 162,22.636096590965,91.648209240657,3.0,A
N1,200325,link,link 163,22.635212581416752,91.64870848362415,223.0,
N1,200326,bridge,bridge 163,22.6343285718685,91.6492077265913,3.0,A
N1,200327,link,link 164,22.6312476035813,91.65098277621125,775.0,
N1,200328,bridge,bridge 164,22.6281666352941,91.6527578258312,3.0,A
N1,200329,link,link 165,22.6269994863217,91.65347179062644,298.0,
N1,200330,bridge,bridge 165,22.6258323373493,91.6541857554217,6.1,B
N1,200331,link,link 166,22.624439254260203,91.6548265042874,343.0,
N1,200332,bridge,bridge 166,22.6230461711711,91.6554672531531,3.0,A
N1,200333,link,link 167,22.620401260091448,91.6567630985133,602.0,
N1,200334,bridge,bridge 167,22.6177563490118,91.6580589438735,3.0,A
N1,200335,link,link 168,22.6163731588196,91.65916299710014,479.0,
N1,200336,bridge,bridge 168,22.6149899686274,91.6602670503268,4.6,A
N1,200337,link,link 169,22.61337282141045,91.6614178617225,436.0,
N1,200338,bridge,bridge 169,22.6117556741935,91.6625686731182,3.0,A
N1,200339,link,link 170,22.60779755768495,91.66497161597084,1022.0,
N1,200340,bridge,bridge 170,22.6038394411764,91.6673745588235,2.95,A
N1,200341,link,link 171,22.603095068067148,91.66785564621844,194.0,
N1,200342,bridge,bridge 171,22.6023506949579,91.6683367336134,4.5,B
N1,200343,link,link 172,22.5997586358049,91.6700779705512,691.0,
N1,200344,bridge,bridge 172,22.5971665766519,91.671819207489,9.3,B
N1,200345,link,link 173,22.595527378522,91.67285407212685,423.0,
N1,200346,bridge,bridge 173,22.5938881803921,91.6738889367647,4.5,A
N1,200347,link,link 174,22.590461598584398,91.67546670272844,850.0,
N1,200348,bridge,bridge 174,22.5870350167767,91.6770444686922,22.25,C
N1,200349,link,link 175,22.5842718457061,91.67829175504579,685.0,
N1,200350,bridge,bridge 175,22.5815086746355,91.6795390413994,2.5,A
N1,200351,link,link 176,22.579150848793148,91.6805808914647,566.0,
N1,200352,bridge,bridge 176,22.5767930229508,91.68162274153,10.2,A
N1,200353,link,link 177,22.5735418080043,91.6828162035749,774.0,
N1,200354,bridge,bridge 177,22.5702905930578,91.6840096656198,3.0,A
N1,200355,link,link 178,22.569143699751997,91.68434816305779,273.0,
N1,200356,bridge,bridge 178,22.5679968064462,91.6846866604958,8.2,A
N1,200357,link,link 179,22.56720904904125,91.68493466206604,187.0,
N1,200358,bridge,bridge 179,22.5664212916363,91.6851826636363,4.5,A
N1,200359,link,link 180,22.5624711889491,91.68634445306415,924.0,
N1,200360,bridge,bridge 180,22.5585210862619,91.687506242492,4.1,A
N1,200361,link,link 181,22.5564265319488,91.6881512787007,490.0,
N1,200362,bridge,bridge 181,22.5543319776357,91.6887963149094,21.6,B
N1,200363,link,link 182,22.5505523493633,91.6907111876365,962.0,
N1,200364,bridge,bridge 182,22.5467727210909,91.6926260603636,3.0,A
N1,200365,link,link 183,22.5456312483636,91.6933785694545,300.0,
N1,200366,bridge,bridge 183,22.5444897756363,91.6941310785454,5.2,A
N1,200367,link,link 184,22.5417598995528,91.6953381765176,657.0,
N1,200368,bridge,bridge 184,22.5390300234693,91.6965452744898,8.2,A
N1,200369,link,link 185,22.5346989136577,91.69850469867345,1050.0,
N1,200370,bridge,bridge 185,22.5303678038461,91.7004641228571,3.0,A
N1,200371,link,link 186,22.5266518602825,91.702150369579,903.0,
N1,200372,bridge,bridge 186,22.5229359167189,91.7038366163009,16.3,B
N1,200373,link,link 187,22.51714151656555,91.7063137026161,1421.0,
N1,200374,bridge,bridge 187,22.5113471164122,91.7087907889313,34.055,C
N1,200375,link,link 188,22.508684580092847,91.710037805409,660.0,
N1,200376,bridge,bridge 188,22.5060220437735,91.7112848218867,4.5,A
N1,200377,link,link 189,22.50305393867505,91.7127176561988,729.0,
N1,200378,bridge,bridge 189,22.5000858335766,91.7141504905109,17.6,A
N1,200379,link,link 190,22.4952632156045,91.71621158195215,1181.0,
N1,200380,bridge,bridge 190,22.4904405976324,91.7182726733934,3.0,B
N1,200381,link,link 191,22.48799430226445,91.71890181255876,565.0,
N1,200382,bridge,bridge 191,22.4855480068965,91.7195309517241,4.5,A
N1,200383,link,link 192,22.48335611068655,91.71994715748784,499.0,
N1,200384,bridge,bridge 192,22.4811642144766,91.7203633632516,23.765,D
N1,200385,link,link 193,22.477008651915497,91.7218133586926,986.0,
N1,200386,bridge,bridge 193,22.4728530893544,91.7232633541336,6.0,A
N1,200387,link,link 194,22.4676458622772,91.7258970270668,1298.0,
N1,200388,bridge,bridge 194,22.4624386352,91.7285307,23.759999999999998,D
N1,200389,link,link 195,22.45565074279355,91.7314065447179,1632.0,
N1,200390,bridge,bridge 195,22.4488628503871,91.7342823894358,3.0,A
N1,200391,link,link 196,22.4474710918141,91.73482490907075,330.0,
N1,200392,bridge,bridge 196,22.4460793332411,91.7353674287057,26.3,C
N1,200393,link,link 197,22.44179142743135,91.73701668802849,1056.0,
N1,200394,bridge,bridge 197,22.4375035216216,91.7386659473513,3.0,A
N1,200395,link,link 198,22.4362886567567,91.73915933329724,310.0,
N1,200396,bridge,bridge 198,22.4350737918918,91.7396527192432,40.0,A
N1,200397,link,link 199,22.4285576727459,91.7438368492216,1649.0,
N1,200398,bridge,bridge 199,22.4220415536,91.7480209792,35.1,B
N1,200399,link,link 200,22.41252804905,91.752297547725,2327.0,
N1,200400,bridge,bridge 200,22.4030145445,91.75657411625,5.0,A
N1,200401,link,link 201,22.399677213763248,91.75741463716385,768.0,
N1,200402,bridge,bridge 201,22.3963398830265,91.7582551580777,3.0,A
N1,200403,link,link 202,22.394528708794347,91.75867168595124,406.0,
N1,200404,bridge,bridge 202,22.3927175345622,91.7590882138248,18.0,A
N1,200405,link,link 203,22.388981708641097,91.7607969357924,927.0,
N1,200406,bridge,bridge 203,22.38524588272,91.76250565776,3.0,A
N1,200407,link,link 204,22.3824735326933,91.76477665554665,791.0,
N1,200408,bridge,bridge 204,22.3797011826666,91.7670476533333,8.3,A
N1,200409,link,link 205,22.374692655163052,91.7704867621276,1045.0,
N1,200410,bridge,bridge 205,22.3696841276595,91.7739258709219,3.0,A
N1,200411,link,link 206,22.36706426382975,91.81251848546094,9097.0,
N1,200412,sourcesink,sourcesink,22.3644444,91.8511111,0.0,
